Date,Visitors,Visits,Page Views,
7-Jan-08,"107,232","139,402","160,848",
7-Jan-08,"109,210","141,972","163,814",
7-Jan-08,"109,853","142,809","164,780",
7-Jan-08,"109,520","142,376","164,281",
7-Jan-08,"113,407","147,429","170,111",
7-Jan-08,"107,542","139,804","161,312",
7-Jan-08,"110,996","144,295","166,494",
7-Jan-08,"107,264","139,444","160,897",
7-Jan-08,"105,823","137,570","158,734",
7-Jan-08,"113,276","147,259","169,914",
8-Jan-08,"113,607","147,689","170,410",
8-Jan-08,"113,607","147,689","170,410",
8-Jan-08,"105,384","136,999","158,076",
8-Jan-08,"105,384","136,999","158,076",
8-Jan-08,"105,506","137,158","158,259",
8-Jan-08,"105,506","137,158","158,259",
8-Jan-08,"106,726","138,743","160,089",
8-Jan-08,"106,726","138,743","160,089",
8-Jan-08,"106,739","138,760","160,108",
8-Jan-08,"106,739","138,760","160,108",
8-Jan-08,"113,379","147,392","170,068",
8-Jan-08,"113,379","147,392","170,068",
8-Jan-08,"107,340","139,542","161,010",
8-Jan-08,"107,340","139,542","161,010",
8-Jan-08,"107,913","140,286","161,869",
8-Jan-08,"107,913","140,286","161,869",
8-Jan-08,"108,406","140,928","162,610",
8-Jan-08,"108,406","140,928","162,610",
8-Jan-08,"111,312","144,705","166,967",
8-Jan-08,"111,312","144,705","166,967",
9-Jan-08,"111,173","144,525","166,759",
9-Jan-08,"111,980","145,573","167,969",
9-Jan-08,"105,845","137,599","158,768",
9-Jan-08,"106,421","138,348","159,632",
9-Jan-08,"107,992","140,390","161,988",
9-Jan-08,"111,529","144,988","167,293",
9-Jan-08,"109,879","142,843","164,819",
9-Jan-08,"113,623","147,710","170,435",
9-Jan-08,"106,055","137,872","159,083",
9-Jan-08,"108,710","141,323","163,065",
9-Jan-08,"106,920","138,996","160,380",
9-Jan-08,"110,755","143,981","166,132",
10-Jan-08,"108,168","140,618","162,252",
10-Jan-08,"111,567","145,038","167,351",
10-Jan-08,"108,525","141,083","162,788",
10-Jan-08,"109,823","142,770","164,735",
10-Jan-08,"112,761","146,589","169,141",
10-Jan-08,"108,471","141,012","162,706",
10-Jan-08,"108,541","141,103","162,811",
10-Jan-08,"106,968","139,059","160,453",
10-Jan-08,"111,727","145,245","167,591",
10-Jan-08,"113,182","147,136","169,773",
10-Jan-08,"113,512","147,566","170,268",
10-Jan-08,"112,261","145,939","168,391",
11-Jan-08,"113,145","147,088","169,717",
11-Jan-08,"106,130","137,968","159,194",
11-Jan-08,"109,810","142,753","164,715",
11-Jan-08,"109,964","142,953","164,946",
11-Jan-08,"110,113","143,147","165,169",
11-Jan-08,"108,093","140,520","162,139",
11-Jan-08,"106,078","137,902","159,117",
11-Jan-08,"111,601","145,081","167,401",
11-Jan-08,"113,427","147,455","170,140",
11-Jan-08,"113,008","146,910","169,512",
11-Jan-08,"110,584","143,759","165,876",
11-Jan-08,"111,974","145,566","167,960",
11-Jan-08,"107,154","139,300","160,730",
12-Jan-08,"105,855","137,612","158,783",
12-Jan-08,"109,245","142,019","163,868",
12-Jan-08,"107,853","140,209","161,779",
12-Jan-08,"113,607","147,690","170,411",
12-Jan-08,"106,127","137,965","159,190",
12-Jan-08,"111,859","145,416","167,788",
12-Jan-08,"107,432","139,661","161,148",
12-Jan-08,"107,455","139,691","161,182",
12-Jan-08,"110,520","143,676","165,780",
13-Jan-08,"108,157","140,604","162,236",
13-Jan-08,"111,737","145,258","167,606",
13-Jan-08,"113,354","147,360","170,030",
13-Jan-08,"108,866","141,525","163,299",
13-Jan-08,"111,331","144,730","166,996",
13-Jan-08,"107,892","140,260","161,838",
13-Jan-08,"107,808","140,150","161,712",
13-Jan-08,"106,454","138,391","159,682",
13-Jan-08,"111,799","145,339","167,699",
13-Jan-08,"109,638","142,529","164,456",
13-Jan-08,"110,504","143,655","165,756",
13-Jan-08,"112,523","146,279","168,784",
14-Jan-08,"113,301","147,291","169,951",
14-Jan-08,"108,965","141,655","163,448",
14-Jan-08,"110,701","143,911","166,051",
14-Jan-08,"110,633","143,822","165,949",
14-Jan-08,"106,236","138,107","159,354",
14-Jan-08,"107,183","139,338","160,775",
14-Jan-08,"107,539","139,801","161,309",
14-Jan-08,"113,469","147,510","170,203",
14-Jan-08,"109,117","141,852","163,675",
14-Jan-08,"111,533","144,993","167,300",
14-Jan-08,"105,126","136,663","157,689",
15-Jan-08,"107,132","139,271","160,698",
15-Jan-08,"108,094","140,522","162,141",
15-Jan-08,"107,435","139,665","161,152",
15-Jan-08,"105,763","137,491","158,644",
15-Jan-08,"110,924","144,201","166,385",
15-Jan-08,"107,009","139,112","160,514",
15-Jan-08,"110,276","143,359","165,415",
15-Jan-08,"110,177","143,230","165,266",
15-Jan-08,"108,961","141,650","163,442",
15-Jan-08,"106,163","138,011","159,244",
15-Jan-08,"111,027","144,335","166,541",
15-Jan-08,"108,814","141,459","163,222",
15-Jan-08,"107,593","139,871","161,389",
16-Jan-08,"109,968","142,959","164,952",
16-Jan-08,"112,902","146,773","169,354",
16-Jan-08,"105,399","137,019","158,099",
16-Jan-08,"105,626","137,314","158,439",
16-Jan-08,"112,363","146,072","168,544",
16-Jan-08,"107,618","139,903","161,426",
16-Jan-08,"105,582","137,257","158,374",
16-Jan-08,"112,121","145,758","168,182",
16-Jan-08,"113,417","147,442","170,125",
16-Jan-08,"106,011","137,814","159,017",
16-Jan-08,"111,554","145,020","167,331",
16-Jan-08,"112,864","146,723","169,296",
16-Jan-08,"105,138","136,680","157,707",
17-Jan-08,"105,503","137,154","158,255",
17-Jan-08,"106,209","138,072","159,314",
17-Jan-08,"111,056","144,373","166,584",
17-Jan-08,"111,939","145,520","167,908",
17-Jan-08,"108,702","141,312","163,053",
17-Jan-08,"108,285","140,770","162,427",
17-Jan-08,"110,862","144,121","166,293",
17-Jan-08,"106,564","138,534","159,846",
18-Jan-08,"106,298","138,187","159,447",
18-Jan-08,"106,533","138,492","159,799",
18-Jan-08,"108,404","140,925","162,606",
18-Jan-08,"112,918","146,794","169,378",
18-Jan-08,"111,529","144,988","167,294",
18-Jan-08,"110,067","143,087","165,100",
18-Jan-08,"112,116","145,750","168,173",
18-Jan-08,"112,379","146,093","168,569",
18-Jan-08,"107,211","139,375","160,817",
18-Jan-08,"112,414","146,139","168,622",
18-Jan-08,"111,122","144,459","166,684",
18-Jan-08,"110,671","143,872","166,006",
18-Jan-08,"111,015","144,320","166,523",
19-Jan-08,"110,976","144,268","166,463",
19-Jan-08,"109,394","142,212","164,091",
19-Jan-08,"112,868","146,728","169,302",
19-Jan-08,"111,666","145,165","167,498",
19-Jan-08,"112,472","146,214","168,708",
19-Jan-08,"112,122","145,759","168,184",
19-Jan-08,"112,088","145,714","168,132",
19-Jan-08,"111,246","144,619","166,868",
19-Jan-08,"112,379","146,093","168,569",
19-Jan-08,"107,712","140,026","161,569",
19-Jan-08,"111,872","145,433","167,808",
19-Jan-08,"109,599","142,479","164,399",
20-Jan-08,"111,688","145,194","167,531",
20-Jan-08,"113,454","147,490","170,180",
20-Jan-08,"110,603","143,784","165,905",
20-Jan-08,"111,270","144,651","166,905",
20-Jan-08,"107,601","139,881","161,401",
20-Jan-08,"113,502","147,552","170,253",
20-Jan-08,"109,461","142,299","164,191",
20-Jan-08,"105,340","136,942","158,010",
20-Jan-08,"108,326","140,823","162,488",
20-Jan-08,"107,835","140,186","161,753",
20-Jan-08,"109,021","141,728","163,532",
21-Jan-08,"106,957","139,045","160,436",
21-Jan-08,"109,032","141,741","163,548",
21-Jan-08,"107,784","140,120","161,677",
21-Jan-08,"111,528","144,986","167,291",
21-Jan-08,"108,263","140,741","162,394",
21-Jan-08,"106,452","138,387","159,677",
21-Jan-08,"112,029","145,637","168,043",
21-Jan-08,"108,138","140,579","162,206",
21-Jan-08,"109,706","142,617","164,558",
21-Jan-08,"110,836","144,086","166,254",
21-Jan-08,"107,116","139,251","160,675",
21-Jan-08,"110,234","143,304","165,350",
21-Jan-08,"105,970","137,761","158,955",
22-Jan-08,"111,448","144,883","167,173",
22-Jan-08,"111,835","145,385","167,752",
22-Jan-08,"111,942","145,525","167,913",
22-Jan-08,"113,357","147,364","170,036",
22-Jan-08,"106,591","138,568","159,886",
22-Jan-08,"105,041","136,553","157,561",
22-Jan-08,"110,278","143,361","165,416",
22-Jan-08,"105,047","136,561","157,570",
22-Jan-08,"108,134","140,574","162,200",
22-Jan-08,"108,384","140,899","162,576",
23-Jan-08,"111,169","144,520","166,753",
23-Jan-08,"108,819","141,465","163,228",
23-Jan-08,"109,816","142,761","164,724",
23-Jan-08,"107,152","139,297","160,728",
23-Jan-08,"110,271","143,352","165,406",
23-Jan-08,"105,918","137,693","158,877",
23-Jan-08,"108,073","140,495","162,110",
23-Jan-08,"110,689","143,895","166,033",
23-Jan-08,"109,019","141,725","163,528",
24-Jan-08,"112,615","146,400","168,923",
24-Jan-08,"106,781","138,815","160,172",
24-Jan-08,"108,092","140,520","162,139",
24-Jan-08,"112,752","146,577","169,127",
24-Jan-08,"110,496","143,644","165,743",
24-Jan-08,"105,331","136,930","157,996",
24-Jan-08,"106,915","138,990","160,373",
24-Jan-08,"107,935","140,315","161,902",
24-Jan-08,"105,005","136,506","157,507",
24-Jan-08,"110,141","143,184","165,212",
24-Jan-08,"107,580","139,854","161,370",
24-Jan-08,"111,876","145,439","167,815",
25-Jan-08,"105,797","137,536","158,695",
25-Jan-08,"106,086","137,912","159,129",
25-Jan-08,"111,842","145,395","167,764",
25-Jan-08,"112,825","146,673","169,238",
25-Jan-08,"108,962","141,650","163,443",
25-Jan-08,"105,920","137,696","158,880",
25-Jan-08,"108,803","141,444","163,204",
25-Jan-08,"108,486","141,031","162,729",
25-Jan-08,"111,175","144,528","166,763",
25-Jan-08,"111,078","144,402","166,618",
25-Jan-08,"112,202","145,863","168,303",
25-Jan-08,"111,636","145,127","167,454",
26-Jan-08,"106,752","138,778","160,129",
26-Jan-08,"113,543","147,606","170,314",
26-Jan-08,"105,439","137,070","158,158",
26-Jan-08,"110,163","143,211","165,244",
26-Jan-08,"105,483","137,128","158,225",
26-Jan-08,"108,323","140,820","162,485",
26-Jan-08,"110,424","143,551","165,636",
26-Jan-08,"110,185","143,241","165,278",
26-Jan-08,"107,943","140,326","161,915",
26-Jan-08,"108,670","141,270","163,004",
27-Jan-08,"110,754","143,980","166,131",
27-Jan-08,"109,398","142,217","164,096",
27-Jan-08,"108,278","140,762","162,417",
27-Jan-08,"109,871","142,833","164,807",
27-Jan-08,"113,642","147,735","170,463",
27-Jan-08,"112,277","145,961","168,416",
27-Jan-08,"113,538","147,599","170,307",
27-Jan-08,"107,860","140,218","161,790",
27-Jan-08,"107,053","139,169","160,580",
27-Jan-08,"111,926","145,504","167,889",
27-Jan-08,"105,947","137,731","158,920",
27-Jan-08,"112,397","146,116","168,595",
28-Jan-08,"112,974","146,866","169,461",
28-Jan-08,"109,769","142,700","164,654",
28-Jan-08,"106,860","138,918","160,290",
28-Jan-08,"105,524","137,181","158,285",
28-Jan-08,"108,225","140,693","162,338",
28-Jan-08,"109,641","142,534","164,462",
28-Jan-08,"107,117","139,253","160,676",
28-Jan-08,"108,651","141,246","162,976",
28-Jan-08,"105,511","137,165","158,267",
28-Jan-08,"112,938","146,820","169,408",
28-Jan-08,"107,076","139,199","160,614",
28-Jan-08,"108,741","141,363","163,111",
28-Jan-08,"108,519","141,075","162,778",
28-Jan-08,"105,823","137,570","158,734",
29-Jan-08,"110,760","143,988","166,140",
29-Jan-08,"105,821","137,567","158,731",
29-Jan-08,"110,616","143,801","165,924",
29-Jan-08,"110,951","144,236","166,427",
29-Jan-08,"106,586","138,561","159,878",
29-Jan-08,"105,522","137,178","158,282",
29-Jan-08,"105,747","137,471","158,620",
29-Jan-08,"111,389","144,806","167,084",
29-Jan-08,"107,020","139,126","160,530",
29-Jan-08,"109,115","141,849","163,672",
29-Jan-08,"108,560","141,128","162,840",
29-Jan-08,"106,213","138,077","159,320",
30-Jan-08,"109,294","142,082","163,941",
30-Jan-08,"111,811","145,354","167,717",
30-Jan-08,"113,366","147,376","170,049",
30-Jan-08,"111,482","144,926","167,223",
30-Jan-08,"105,648","137,342","158,472",
30-Jan-08,"105,255","136,832","157,883",
30-Jan-08,"107,768","140,098","161,652",
30-Jan-08,"110,930","144,209","166,395",
30-Jan-08,"107,898","140,268","161,847",
30-Jan-08,"111,941","145,523","167,911",
30-Jan-08,"107,682","139,986","161,523",
30-Jan-08,"110,682","143,886","166,022",
30-Jan-08,"108,258","140,735","162,386",
31-Jan-08,"105,796","137,535","158,694",
31-Jan-08,"108,107","140,539","162,161",
31-Jan-08,"108,346","140,850","162,519",
31-Jan-08,"105,617","137,302","158,425",
31-Jan-08,"107,456","139,692","161,183",
31-Jan-08,"113,376","147,389","170,064",
31-Jan-08,"108,292","140,779","162,438",
31-Jan-08,"107,725","140,042","161,587",
31-Jan-08,"110,862","144,121","166,293",
31-Jan-08,"111,812","145,355","167,718",
31-Jan-08,"107,671","139,972","161,507",
31-Jan-08,"107,588","139,864","161,381",
31-Jan-08,"105,230","136,798","157,844",
31-Jan-08,"108,411","140,934","162,616",
1-Feb-08,"111,441","144,873","167,162",
1-Feb-08,"109,728","142,647","164,592",
1-Feb-08,"109,005","141,707","163,508",
1-Feb-08,"105,578","137,251","158,367",
1-Feb-08,"106,831","138,880","160,246",
1-Feb-08,"109,212","141,976","163,818",
1-Feb-08,"105,283","136,868","157,925",
1-Feb-08,"108,753","141,379","163,130",
1-Feb-08,"108,378","140,891","162,567",
1-Feb-08,"110,431","143,561","165,647",
2-Feb-08,"105,151","136,696","157,727",
2-Feb-08,"106,126","137,964","159,189",
2-Feb-08,"107,512","139,766","161,268",
2-Feb-08,"110,075","143,098","165,113",
2-Feb-08,"108,498","141,047","162,747",
2-Feb-08,"105,136","136,676","157,703",
2-Feb-08,"112,462","146,201","168,693",
3-Feb-08,"105,567","137,237","158,350",
3-Feb-08,"111,733","145,253","167,599",
3-Feb-08,"110,581","143,755","165,872",
3-Feb-08,"106,380","138,294","159,570",
3-Feb-08,"109,039","141,751","163,559",
3-Feb-08,"108,058","140,476","162,087",
3-Feb-08,"113,206","147,167","169,809",
3-Feb-08,"107,110","139,243","160,665",
3-Feb-08,"112,595","146,374","168,893",
3-Feb-08,"107,430","139,659","161,145",
3-Feb-08,"110,441","143,573","165,661",
3-Feb-08,"105,765","137,494","158,647",
3-Feb-08,"111,716","145,231","167,574",
3-Feb-08,"112,254","145,930","168,381",
4-Feb-08,"106,659","138,657","159,989",
4-Feb-08,"111,092","144,420","166,638",
4-Feb-08,"111,208","144,570","166,812",
4-Feb-08,"106,971","139,063","160,457",
4-Feb-08,"109,212","141,976","163,819",
4-Feb-08,"112,391","146,109","168,587",
4-Feb-08,"109,256","142,032","163,883",
4-Feb-08,"111,576","145,049","167,364",
4-Feb-08,"107,893","140,261","161,840",
4-Feb-08,"106,981","139,076","160,472",
4-Feb-08,"109,799","142,739","164,699",
4-Feb-08,"107,787","140,123","161,681",
4-Feb-08,"112,198","145,857","168,296",
5-Feb-08,"107,991","140,389","161,987",
5-Feb-08,"110,835","144,086","166,253",
5-Feb-08,"111,187","144,543","166,780",
5-Feb-08,"111,975","145,567","167,962",
5-Feb-08,"106,811","138,855","160,217",
5-Feb-08,"106,532","138,492","159,798",
5-Feb-08,"106,901","138,971","160,352",
5-Feb-08,"107,178","139,331","160,767",
5-Feb-08,"106,036","137,847","159,054",
5-Feb-08,"113,133","147,073","169,700",
5-Feb-08,"107,015","139,120","160,523",
6-Feb-08,"112,298","145,987","168,447",
6-Feb-08,"107,897","140,266","161,846",
6-Feb-08,"112,164","145,813","168,246",
6-Feb-08,"108,963","141,652","163,445",
6-Feb-08,"107,430","139,660","161,146",
6-Feb-08,"105,174","136,726","157,761",
6-Feb-08,"107,209","139,372","160,814",
6-Feb-08,"113,054","146,970","169,581",
6-Feb-08,"106,424","138,351","159,636",
6-Feb-08,"106,666","138,666","159,999",
6-Feb-08,"109,471","142,313","164,207",
6-Feb-08,"109,344","142,147","164,015",
6-Feb-08,"106,583","138,558","159,875",
7-Feb-08,"111,685","145,190","167,527",
7-Feb-08,"105,754","137,480","158,631",
7-Feb-08,"107,573","139,845","161,360",
7-Feb-08,"109,904","142,875","164,856",
7-Feb-08,"109,776","142,709","164,664",
7-Feb-08,"110,735","143,955","166,102",
7-Feb-08,"111,945","145,528","167,917",
7-Feb-08,"107,718","140,033","161,576",
7-Feb-08,"107,241","139,413","160,862",
7-Feb-08,"109,508","142,360","164,261",
7-Feb-08,"112,456","146,192","168,684",
7-Feb-08,"112,219","145,884","168,328",
8-Feb-08,"112,821","146,667","169,232",
8-Feb-08,"111,790","145,328","167,686",
8-Feb-08,"112,277","145,961","168,416",
8-Feb-08,"107,506","139,758","161,260",
8-Feb-08,"108,038","140,449","162,057",
8-Feb-08,"105,100","136,630","157,650",
8-Feb-08,"112,847","146,701","169,270",
8-Feb-08,"112,692","146,500","169,038",
8-Feb-08,"112,324","146,022","168,486",
8-Feb-08,"111,614","145,098","167,421",
8-Feb-08,"106,752","138,778","160,128",
8-Feb-08,"109,247","142,022","163,871",
9-Feb-08,"106,083","137,907","159,124",
9-Feb-08,"111,081","144,406","166,622",
9-Feb-08,"108,534","141,094","162,801",
9-Feb-08,"106,052","137,867","159,078",
9-Feb-08,"105,975","137,767","158,962",
9-Feb-08,"111,131","144,471","166,697",
9-Feb-08,"110,856","144,113","166,285",
9-Feb-08,"107,224","139,392","160,836",
9-Feb-08,"106,929","139,007","160,393",
9-Feb-08,"108,836","141,487","163,254",
9-Feb-08,"105,115","136,650","157,673",
9-Feb-08,"110,537","143,698","165,806",
10-Feb-08,"105,898","137,667","158,847",
10-Feb-08,"109,096","141,824","163,644",
10-Feb-08,"107,115","139,250","160,673",
10-Feb-08,"109,131","141,871","163,697",
10-Feb-08,"111,950","145,535","167,924",
10-Feb-08,"111,951","145,537","167,927",
10-Feb-08,"110,840","144,092","166,260",
10-Feb-08,"106,210","138,073","159,315",
10-Feb-08,"110,976","144,268","166,463",
10-Feb-08,"108,472","141,014","162,709",
10-Feb-08,"105,631","137,320","158,446",
10-Feb-08,"105,831","137,580","158,746",
10-Feb-08,"107,701","140,011","161,552",
11-Feb-08,"105,020","136,526","157,531",
11-Feb-08,"106,920","138,996","160,380",
11-Feb-08,"107,474","139,716","161,211",
11-Feb-08,"108,203","140,664","162,305",
11-Feb-08,"108,327","140,826","162,491",
11-Feb-08,"112,059","145,676","168,088",
11-Feb-08,"112,342","146,045","168,514",
11-Feb-08,"106,950","139,035","160,425",
11-Feb-08,"110,157","143,204","165,235",
11-Feb-08,"107,191","139,348","160,787",
11-Feb-08,"105,652","137,347","158,478",
12-Feb-08,"110,458","143,595","165,687",
12-Feb-08,"112,588","146,364","168,882",
12-Feb-08,"105,908","137,681","158,862",
12-Feb-08,"111,935","145,515","167,902",
12-Feb-08,"105,641","137,334","158,462",
12-Feb-08,"111,455","144,891","167,182",
12-Feb-08,"105,360","136,968","158,040",
12-Feb-08,"108,939","141,620","163,408",
12-Feb-08,"109,607","142,489","164,411",
13-Feb-08,"109,563","142,432","164,345",
13-Feb-08,"110,324","143,421","165,486",
13-Feb-08,"105,403","137,024","158,105",
13-Feb-08,"109,542","142,404","164,313",
13-Feb-08,"109,225","141,993","163,838",
13-Feb-08,"107,883","140,248","161,825",
13-Feb-08,"110,986","144,282","166,480",
13-Feb-08,"106,363","138,272","159,545",
13-Feb-08,"111,622","145,108","167,432",
13-Feb-08,"108,653","141,249","162,980",
13-Feb-08,"105,713","137,428","158,570",
13-Feb-08,"109,469","142,309","164,203",
14-Feb-08,"106,340","138,241","159,509",
14-Feb-08,"105,468","137,109","158,202",
14-Feb-08,"109,143","141,885","163,714",
14-Feb-08,"111,861","145,420","167,792",
14-Feb-08,"107,946","140,329","161,919",
14-Feb-08,"108,297","140,786","162,446",
14-Feb-08,"112,660","146,457","168,989",
14-Feb-08,"107,394","139,612","161,091",
14-Feb-08,"105,175","136,727","157,762",
14-Feb-08,"107,395","139,613","161,092",
14-Feb-08,"113,204","147,165","169,805",
14-Feb-08,"110,939","144,220","166,408",
14-Feb-08,"109,568","142,438","164,351",
14-Feb-08,"110,437","143,568","165,655",
15-Feb-08,"111,868","145,429","167,802",
15-Feb-08,"108,521","141,077","162,781",
15-Feb-08,"109,997","142,996","164,995",
15-Feb-08,"108,743","141,366","163,115",
15-Feb-08,"112,605","146,387","168,908",
15-Feb-08,"109,178","141,931","163,767",
15-Feb-08,"106,767","138,798","160,151",
15-Feb-08,"108,272","140,753","162,407",
15-Feb-08,"106,619","138,605","159,929",
15-Feb-08,"106,080","137,904","159,120",
16-Feb-08,"111,763","145,292","167,645",
16-Feb-08,"112,345","146,049","168,518",
16-Feb-08,"109,347","142,151","164,021",
16-Feb-08,"109,934","142,915","164,902",
16-Feb-08,"107,500","139,751","161,251",
16-Feb-08,"110,493","143,641","165,740",
16-Feb-08,"105,255","136,831","157,882",
16-Feb-08,"107,235","139,406","160,853",
16-Feb-08,"109,952","142,938","164,928",
16-Feb-08,"106,090","137,917","159,135",
17-Feb-08,"106,211","138,075","159,317",
17-Feb-08,"110,278","143,362","165,418",
17-Feb-08,"106,062","137,881","159,094",
17-Feb-08,"107,469","139,710","161,204",
17-Feb-08,"111,244","144,617","166,865",
17-Feb-08,"108,838","141,489","163,257",
17-Feb-08,"112,114","145,749","168,171",
17-Feb-08,"109,154","141,900","163,730",
17-Feb-08,"111,000","144,300","166,500",
18-Feb-08,"111,405","144,826","167,107",
18-Feb-08,"108,305","140,796","162,457",
18-Feb-08,"107,708","140,020","161,561",
18-Feb-08,"110,525","143,683","165,788",
18-Feb-08,"108,040","140,452","162,060",
18-Feb-08,"110,177","143,230","165,266",
18-Feb-08,"112,791","146,628","169,187",
18-Feb-08,"107,763","140,092","161,644",
18-Feb-08,"106,439","138,370","159,658",
18-Feb-08,"108,775","141,407","163,162",
18-Feb-08,"112,090","145,717","168,135",
19-Feb-08,"109,687","142,593","164,530",
19-Feb-08,"105,797","137,535","158,695",
19-Feb-08,"111,375","144,788","167,063",
19-Feb-08,"105,630","137,320","158,446",
19-Feb-08,"110,544","143,708","165,816",
19-Feb-08,"105,675","137,378","158,513",
19-Feb-08,"110,281","143,366","165,422",
19-Feb-08,"109,047","141,762","163,571",
19-Feb-08,"112,016","145,621","168,024",
19-Feb-08,"107,808","140,150","161,712",
19-Feb-08,"111,113","144,446","166,669",
19-Feb-08,"112,679","146,482","169,018",
19-Feb-08,"109,195","141,953","163,792",
20-Feb-08,"108,072","140,493","162,107",
20-Feb-08,"113,007","146,909","169,510",
20-Feb-08,"111,930","145,509","167,895",
20-Feb-08,"109,005","141,706","163,507",
20-Feb-08,"107,816","140,161","161,724",
20-Feb-08,"108,410","140,933","162,615",
20-Feb-08,"110,535","143,696","165,803",
20-Feb-08,"107,897","140,266","161,846",
20-Feb-08,"108,127","140,565","162,191",
21-Feb-08,"109,058","141,775","163,586",
21-Feb-08,"107,933","140,313","161,900",
21-Feb-08,"109,177","141,930","163,766",
21-Feb-08,"108,598","141,178","162,898",
21-Feb-08,"110,513","143,666","165,769",
21-Feb-08,"111,796","145,334","167,694",
21-Feb-08,"107,800","140,140","161,700",
21-Feb-08,"107,264","139,443","160,896",
21-Feb-08,"109,442","142,274","164,163",
21-Feb-08,"105,957","137,744","158,936",
21-Feb-08,"107,028","139,136","160,542",
22-Feb-08,"105,386","137,002","158,079",
22-Feb-08,"111,591","145,069","167,387",
22-Feb-08,"110,111","143,144","165,166",
22-Feb-08,"111,853","145,409","167,780",
22-Feb-08,"108,677","141,280","163,015",
22-Feb-08,"105,592","137,270","158,389",
22-Feb-08,"110,940","144,222","166,410",
22-Feb-08,"110,847","144,101","166,271",
22-Feb-08,"107,018","139,124","160,527",
22-Feb-08,"109,837","142,788","164,755",
22-Feb-08,"110,833","144,083","166,249",
23-Feb-08,"107,151","139,296","160,727",
23-Feb-08,"112,485","146,230","168,727",
23-Feb-08,"105,239","136,810","157,858",
23-Feb-08,"112,244","145,917","168,366",
23-Feb-08,"106,588","138,564","159,882",
23-Feb-08,"106,690","138,696","160,034",
23-Feb-08,"109,233","142,003","163,850",
23-Feb-08,"110,771","144,002","166,157",
23-Feb-08,"111,426","144,854","167,139",
23-Feb-08,"113,077","147,000","169,616",
23-Feb-08,"105,134","136,674","157,701",
23-Feb-08,"111,740","145,262","167,610",
23-Feb-08,"108,607","141,190","162,911",
24-Feb-08,"107,000","139,100","160,501",
24-Feb-08,"106,220","138,086","159,330",
24-Feb-08,"110,533","143,693","165,799",
24-Feb-08,"107,597","139,876","161,395",
24-Feb-08,"106,504","138,455","159,755",
24-Feb-08,"108,142","140,584","162,213",
24-Feb-08,"112,683","146,487","169,024",
